,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
55,Bucknell University,23,https://collegedunia.com/usa/college/1527-bucknell-university-lewisburg,,,8,https://studyabroad.shiksha.com/usa/universities/bucknell-university,,,,,,,,,,,,,12715,Study_Abroad,720,College,,Study_Abroad-College-LS
56,University of Missouri Columbia,15,https://collegedunia.com/usa/college/1184-university-of-missouri-columbia,,,4,https://studyabroad.shiksha.com/usa/universities/university-of-missouri,,,,,,,,,,,,,12716,Study_Abroad,720,College,,Study_Abroad-College-LS
57,Mercer University,11,https://collegedunia.com/usa/college/1579-mercer-university-macon,,,7,https://studyabroad.shiksha.com/usa/universities/mercer-university,,,23,https://www.collegedekho.com/usa/mercer-university/,,,,,,,,,12717,Study_Abroad,720,College,,Study_Abroad-College-LS
58,Kean University,17,https://collegedunia.com/usa/college/2135-kean-university-union,,,4,https://studyabroad.shiksha.com/usa/universities/kean-university,,,34,https://www.collegedekho.com/usa/kean-university/,,,,,,,,,12719,Study_Abroad,720,College,,Study_Abroad-College-LS
59,Drake University,29,https://collegedunia.com/usa/college/1246-drake-university-des-moines,,,5,https://studyabroad.shiksha.com/usa/universities/drake-university,,,,,,,,,,,,,12720,Study_Abroad,720,College,,Study_Abroad-College-LS
60,Fairfield University,13,https://collegedunia.com/usa/college/1297-fairfield-university-fairfield,,,5,https://studyabroad.shiksha.com/usa/universities/fairfield-university,,,,,,,,,,,,,12721,Study_Abroad,720,College,,Study_Abroad-College-LS
61,University of Hawaii at Manoa,6,https://collegedunia.com/usa/college/1421-university-of-hawaii-at-manoa-honolulu,,,5,https://studyabroad.shiksha.com/usa/universities/university-of-hawaii-at-manoa,,,45,https://www.collegedekho.com/ae/usa/university-of-hawaii-at-manoa/,,,,,,,,,12722,Study_Abroad,720,College,,Study_Abroad-College-LS
62,Biola University,8,https://collegedunia.com/usa/college/1499-biola-university-la-mirada,,,,,,,,,,,,,,,,,12723,Study_Abroad,720,College,,Study_Abroad-College-LS
63,University of Montana,24,https://collegedunia.com/usa/college/1651-university-of-montana-missoula,,,39,https://studyabroad.shiksha.com/usa/universities/montana-state-university,,,,,,,,,,,,,12724,Study_Abroad,720,College,,Study_Abroad-College-LS
64,Tennessee State University,34,https://collegedunia.com/usa/college/1688-tennessee-state-university-nashville,,,41,https://studyabroad.shiksha.com/usa/universities/middle-tennessee-state-university,,,,,,,,,,,,,12725,Study_Abroad,720,College,,Study_Abroad-College-LS
65,University of North Carolina Greensboro,8,https://collegedunia.com/usa/college/1371-university-of-north-carolina-greensboro-greensboro,,,6,https://studyabroad.shiksha.com/usa/universities/university-of-north-carolina-at-greensboro,,,57,https://www.collegedekho.com/usa/university-of-north-carolina-at-greensboro/,,,,,,,,,12726,Study_Abroad,720,College,,Study_Abroad-College-LS
66,Regent University,12,https://collegedunia.com/usa/college/2155-regent-university-virginia-beach,,,18,https://studyabroad.shiksha.com/uk/universities/regent-s-university-london,,,,,,,,,,,,,12727,Study_Abroad,720,College,,Study_Abroad-College-LS
67,Gallaudet University,6,https://collegedunia.com/usa/college/2167-gallaudet-university-washington,,,,,,,,,,,,,,,,,12728,Study_Abroad,720,College,,Study_Abroad-College-LS
68,Middle Tennessee State University,26,https://collegedunia.com/usa/college/1682-middle-tennessee-state-university-murfreesboro,,,4,https://studyabroad.shiksha.com/usa/universities/middle-tennessee-state-university,,,,,,,,,,,,,12729,Study_Abroad,720,College,,Study_Abroad-College-LS
69,Seattle Pacific University,10,https://collegedunia.com/usa/college/2025-seattle-pacific-university-seattle,,,5,https://studyabroad.shiksha.com/usa/universities/seattle-pacific-university,,,,,,,,,,,,,12730,Study_Abroad,720,College,,Study_Abroad-College-LS
70,Youngstown State University,17,https://collegedunia.com/usa/college/2234-youngstown-state-university-youngstown,,,3,https://studyabroad.shiksha.com/usa/universities/youngstown-state-university,,,,,,,,,,,,,12731,Study_Abroad,720,College,,Study_Abroad-College-LS
71,University of New Orleans,27,https://collegedunia.com/usa/college/1704-university-of-new-orleans-new-orleans,,,3,https://studyabroad.shiksha.com/usa/universities/university-of-new-orleans,,,,,,,,,,,,,12732,Study_Abroad,720,College,,Study_Abroad-College-LS
72,Western New England University,22,https://collegedunia.com/usa/college/2056-western-new-england-university-springfield,,,3,https://studyabroad.shiksha.com/usa/universities/western-new-england-university,,,,,,,,,,,,,12733,Study_Abroad,720,College,,Study_Abroad-College-LS
73,Franklin University,11,https://collegedunia.com/usa/college/1193-franklin-university-columbus,,,4,https://studyabroad.shiksha.com/usa/universities/franklin-university,,,54,https://www.collegedekho.com/usa/franklin-university/,,,,,,,,,12734,Study_Abroad,720,College,,Study_Abroad-College-LS
74,Indiana University of Pennsylvania,11,https://collegedunia.com/usa/college/1442-indiana-university-of-pennsylvania-indiana,,,2,https://studyabroad.shiksha.com/usa/universities/indiana-university-of-pennsylvania,,,39,https://www.collegedekho.com/usa/indiana-university-of-pennsylvania/,,,,,,,,,12735,Study_Abroad,720,College,,Study_Abroad-College-LS
75,University of Nebraska Omaha,17,https://collegedunia.com/usa/college/1796-university-of-nebraska-omaha-omaha,,,5,https://studyabroad.shiksha.com/usa/universities/university-of-nebraska-omaha,,,,,,,,,,,,,12736,Study_Abroad,720,College,,Study_Abroad-College-LS
76,Kettering University,11,https://collegedunia.com/usa/college/1309-kettering-university-flint,,,6,https://studyabroad.shiksha.com/usa/universities/kettering-university,,,,,,,,,44,https://leverageedu.com/universities/kettering-university,,,12737,Study_Abroad,720,College,,Study_Abroad-College-LS
77,Oklahoma City University,28,https://collegedunia.com/usa/college/1789-oklahoma-city-university-oklahoma-city,,,3,https://studyabroad.shiksha.com/usa/universities/oklahoma-city-university,,,91,https://www.collegedekho.com/usa/oklahoma-city-university/,,,,,,,,,12738,Study_Abroad,720,College,,Study_Abroad-College-LS
78,University of Regensburg,18,https://collegedunia.com/germany/college/701-university-of-regensburg-regensburg,,,3,https://studyabroad.shiksha.com/germany/universities/university-of-regensburg,,,,,,,,,,,,,12739,Study_Abroad,720,College,,Study_Abroad-College-LS
79,Harper Adams University,5,https://collegedunia.com/uk/college/2295-harper-adams-university-newport,,,,,,,,,,,,,,,,,12740,Study_Abroad,720,College,,Study_Abroad-College-LS
80,The University of Chicago,23,https://collegedunia.com/usa/college/1129-university-of-chicago-chicago,,,5,https://studyabroad.shiksha.com/usa/universities/the-university-of-chicago,,,47,https://www.collegedekho.com/usa/the-university-of-chicago/,,,,,,,,,12741,Study_Abroad,720,College,,Study_Abroad-College-LS
