Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Middlesex University,1,TOP SITE,02-12-2021,https://www.mdx.ac.uk/,16,https://collegedunia.com/uk/college/842-middlesex-university-london,4,https://studyabroad.shiksha.com/uk/universities/middlesex-university,,,51,https://www.collegedekho.com/uae/middlesex-university-dubai/,,,,,,,12172,Study_Abroad,18100,College,,Study_Abroad-College-HS
Nottingham Trent University,1,TOP SITE,02-12-2021,https://www.ntu.ac.uk/,19,https://collegedunia.com/uk/college/862-nottingham-trent-university-nottingham,3,https://studyabroad.shiksha.com/uk/universities/nottingham-trent-university,,,,,,,,,,,12173,Study_Abroad,18100,College,,Study_Abroad-College-HS
Brunel University,1,TOP SITE,02-12-2021,https://www.brunel.ac.uk/,15,https://collegedunia.com/uk/college/878-brunel-university-london,2,https://studyabroad.shiksha.com/uk/universities/brunel-university,,,,,,,42,https://leverageedu.com/blog/brunel-university-acceptance-rate/,,,12174,Study_Abroad,18100,College,,Study_Abroad-College-HS
Lund University,1,TOP SITE,02-12-2021,https://www.lunduniversity.lu.se/,23,https://collegedunia.com/sweden/college/773-lund-university-lund,17,https://studyabroad.shiksha.com/sweden/universities/lund-university,,,,,,,,,,,12175,Study_Abroad,18100,College,,Study_Abroad-College-HS
"Queen Mary, University of London",1,TOP SITE,02-12-2021,https://www.qmul.ac.uk/,19,https://collegedunia.com/uk/college/843-queen-mary-university-of-london-london,4,https://studyabroad.shiksha.com/uk/universities/queen-mary-university-of-london,,,34,https://www.collegedekho.com/united-kingdom/queen-mary-university-of-london/,,,15,https://leverageedu.com/universities/queen-mary-university-of-london-united-kingdom,,,12176,Study_Abroad,18100,College,,Study_Abroad-College-HS
University of North Texas,1,TOP SITE,02-12-2021,https://www.unt.edu/,14,https://collegedunia.com/usa/college/1238-university-of-north-texas-denton,3,https://studyabroad.shiksha.com/usa/universities/university-of-north-texas,,,,,,,,,,,12177,Study_Abroad,18100,College,,Study_Abroad-College-HS
Cleveland State University,1,TOP SITE,02-12-2021,https://www.csuohio.edu/,21,https://collegedunia.com/usa/college/1168-cleveland-state-university-cleveland,2,https://studyabroad.shiksha.com/usa/universities/cleveland-state-university,,,26,https://www.collegedekho.com/usa/cleveland-state-university/,,,,,,,12178,Study_Abroad,18100,College,,Study_Abroad-College-HS
University of New Haven,1,TOP SITE,02-12-2021,https://www.newhaven.edu/,16,https://collegedunia.com/usa/college/2186-university-of-new-haven-west-haven,2,https://studyabroad.shiksha.com/usa/universities/university-of-new-haven,,,,,,,,,,,12179,Study_Abroad,18100,College,,Study_Abroad-College-HS
Birmingham City University,1,TOP SITE,02-12-2021,https://www.bcu.ac.uk/,22,https://collegedunia.com/uk/college/2288-birmingham-city-university-birmingham/admission,2,https://studyabroad.shiksha.com/uk/universities/birmingham-city-university,,,38,https://www.collegedekho.com/united-kingdom/birmingham-city-university/,,,,,,,12180,Study_Abroad,18100,College,,Study_Abroad-College-HS
University of Regina,1,TOP SITE,02-12-2021,https://www.uregina.ca/,6,https://collegedunia.com/canada/college/97-university-of-regina-regina,2,https://studyabroad.shiksha.com/canada/universities/university-of-regina,,,32,https://www.collegedekho.com/canada/university-of-regina/,,,,,,,12181,Study_Abroad,18100,College,,Study_Abroad-College-HS
MBA in canada,1,TOP SITE,02-12-2021,https://studyabroad.shiksha.com/canada/mba-colleges-dc,2,https://collegedunia.com/canada/article/study-mba-in-canada-for-international-students-fees-requirements-scholarships-eligibility-visa-and-admission-process,1,https://studyabroad.shiksha.com/canada/mba-colleges-dc,79,https://studyabroad.careers360.com/articles/mba-in-canada-know-study-cost,25,https://www.collegedekho.com/study-abroad/articles/mba-in-canada-vs-mba-in-usa/,85,https://www.embibe.com/exams/study-cost-for-mba-in-canada/,9,https://leverageedu.com/blog/eligibility-for-mba-in-canada/,71,https://admission.buddy4study.com/study-abroad/mba-in-canada,12182,Study_Abroad,14800,College,,Study_Abroad-College-HS
MBA in canada,1,shiksha.com,02-12-2021,https://studyabroad.shiksha.com/canada/mba-colleges-dc,2,https://collegedunia.com/canada/article/study-mba-in-canada-for-international-students-fees-requirements-scholarships-eligibility-visa-and-admission-process,1,https://studyabroad.shiksha.com/canada/mba-colleges-dc,79,https://studyabroad.careers360.com/articles/mba-in-canada-know-study-cost,25,https://www.collegedekho.com/study-abroad/articles/mba-in-canada-vs-mba-in-usa/,85,https://www.embibe.com/exams/study-cost-for-mba-in-canada/,9,https://leverageedu.com/blog/eligibility-for-mba-in-canada/,71,https://admission.buddy4study.com/study-abroad/mba-in-canada,12182,Study_Abroad,14800,College,,Study_Abroad-College-HS
Anglia Ruskin University,1,TOP SITE,02-12-2021,https://aru.ac.uk/,20,https://collegedunia.com/uk/college/799-anglia-ruskin-university-cambridge,3,https://studyabroad.shiksha.com/uk/universities/anglia-ruskin-university,,,42,https://www.collegedekho.com/united-kingdom/anglia-ruskin-university/,,,76,https://leverageedu.com/blog/anglia-ruskin-unievrsity-mba/,,,12186,Study_Abroad,14800,College,,Study_Abroad-College-HS
