Keyword,Rank_top,Website_top,Date_top,URL_top,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
Btech in Australia,1,TOP SITE,06-12-2021,https://collegedunia.com/australia/article/study-btech-in-australia-top-colleges-admissions-fees-funding-scope,1,https://collegedunia.com/australia/article/study-btech-in-australia-top-colleges-admissions-fees-funding-scope,2,https://studyabroad.shiksha.com/australia/be-btech-colleges-dc,7,https://studyabroad.careers360.com/articles/engineering-in-australia-know-study-cost,,,,,,,,,,,46,https://admission.buddy4study.com/study-abroad/study-in-australia-after-class-12,14225,Study_Abroad,140,Course_Guide,,Study_Abroad-part_1
Btech in Australia,1,collegedunia.com,06-12-2021,https://collegedunia.com/australia/article/study-btech-in-australia-top-colleges-admissions-fees-funding-scope,1,https://collegedunia.com/australia/article/study-btech-in-australia-top-colleges-admissions-fees-funding-scope,2,https://studyabroad.shiksha.com/australia/be-btech-colleges-dc,7,https://studyabroad.careers360.com/articles/engineering-in-australia-know-study-cost,,,,,,,,,,,46,https://admission.buddy4study.com/study-abroad/study-in-australia-after-class-12,14225,Study_Abroad,140,Course_Guide,,Study_Abroad-part_1
Masters in digital marketing in USA,1,TOP SITE,06-12-2021,https://www.masterstudies.com/Masters-Degree/Digital-Marketing/USA/,3,https://collegedunia.com/usa/article/masters-in-digital-marketing-in-usa-top-colleges-admissions-fees-funding-jobs,14,https://studyabroad.shiksha.com/usa/universities/sacred-heart-university/m-s-in-digital-marketing,,,55,https://www.collegedekho.com/usa/universities-masters-in-digital-marketing/,,,,,,,,,,,14227,Study_Abroad,210,Course_Guide,,Study_Abroad-part_1
MBA in Hong Kong,1,TOP SITE,06-12-2021,https://mba.fbe.hku.hk/,2,https://collegedunia.com/hong-kong/article/mba-in-hong-kong-top-colleges-eligibility-fees-scholarships-salaries,4,https://studyabroad.shiksha.com/hong-kong/mba-colleges-dc,,,,,,,,,,,15,https://leverageedu.com/blog/mba-in-hong-kong/,,,14228,Study_Abroad,90,Course_Guide,,Study_Abroad-part_1
Masters in cyber security in Australia,1,TOP SITE,06-12-2021,https://collegedunia.com/australia/article/masters-in-cyber-security-in-australia-top-universities-fees-admissions-scholarships-jobs,1,https://collegedunia.com/australia/article/masters-in-cyber-security-in-australia-top-universities-fees-admissions-scholarships-jobs,22,https://studyabroad.shiksha.com/australia/universities/university-of-south-australia/master-of-cybersecurity,,,60,https://www.collegedekho.com/australia/universities-master-of-science-in-networking-cyber-security/,,,,,,,,,,,14229,Study_Abroad,30,Course_Guide,,Study_Abroad-part_1
Masters in cyber security in Australia,1,collegedunia.com,06-12-2021,https://collegedunia.com/australia/article/masters-in-cyber-security-in-australia-top-universities-fees-admissions-scholarships-jobs,1,https://collegedunia.com/australia/article/masters-in-cyber-security-in-australia-top-universities-fees-admissions-scholarships-jobs,22,https://studyabroad.shiksha.com/australia/universities/university-of-south-australia/master-of-cybersecurity,,,60,https://www.collegedekho.com/australia/universities-master-of-science-in-networking-cyber-security/,,,,,,,,,,,14229,Study_Abroad,30,Course_Guide,,Study_Abroad-part_1
MS in Civil Engineering in Ireland,1,TOP SITE,06-12-2021,https://www.mastersportal.com/study-options/268664861/civil-engineering-construction-ireland.html,3,https://collegedunia.com/ireland/article/masters-in-civil-engineering-in-ireland-a-complete-course-guide-for-international-students,2,https://studyabroad.shiksha.com/ireland/ms-in-civil-engineering-colleges-ds,,,24,https://www.collegedekho.com/ireland/universities-civil-engineering/,,,,,,,57,https://leverageedu.com/blog/ms-in-civil-engineering-in-canada/,,,14230,Study_Abroad,30,Course_Guide,,Study_Abroad-part_1
Masters in civil engineering in Ireland,1,TOP SITE,06-12-2021,https://www.mastersportal.com/study-options/268664861/civil-engineering-construction-ireland.html,3,https://collegedunia.com/ireland/article/masters-in-civil-engineering-in-ireland-a-complete-course-guide-for-international-students,2,https://studyabroad.shiksha.com/ireland/ms-in-civil-engineering-colleges-ds,,,23,https://www.collegedekho.com/ae/ireland/universities-masters-in-civil-engineering/,,,,,,,67,https://leverageedu.com/blog/ms-in-ireland/,,,14231,Study_Abroad,30,Course_Guide,,Study_Abroad-part_1
Masters in Human Resource management in Australia,1,TOP SITE,06-12-2021,https://www.mastersportal.com/study-options/271745135/human-resource-management-australia.html,2,https://collegedunia.com/australia/article/masters-in-human-resource-management-in-australia-top-universities-admissions-eligibility-tuition-fees-scholarships-jobs-salaries,17,https://studyabroad.shiksha.com/australia/mba-in-human-resources-colleges-ds,,,39,https://www.collegedekho.com/ae/australia/universities-masters-in-human-resource-management/,,,,,,,,,,,14233,Study_Abroad,50,Course_Guide,,Study_Abroad-part_1
Masters in chemical engineering in Australia,1,TOP SITE,06-12-2021,https://www.idp.com/india/search/chemical-engineering/postgraduate/australia/,2,https://collegedunia.com/australia/article/masters-in-chemical-engineering-in-australia-top-colleges-fees-admission-eligibility-scholarships-jobs-salaries,5,https://studyabroad.shiksha.com/australia/ms-in-chemical-engineering-colleges-ds,,,25,https://www.collegedekho.com/australia/universities-masters-in-chemical-engineering/,,,,,,,92,https://leverageedu.com/blog/best-engineering-courses-for-future/,,,14234,Study_Abroad,40,course_Guide,,Study_Abroad-part_1
