,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_fresherslive.com,URL_fresherslive.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
1073,BBA in Singapore,1,https://collegedunia.com/singapore/article/reasons-to-get-a-bba-degree-from-singapore-eligibility-scholarship-salaries,3,https://studyabroad.shiksha.com/singapore/bachelors-of-business-colleges-cl,24,https://www.careers360.com/colleges/sp-jain-school-of-global-management-singapore/bba-course,15,https://www.collegedekho.com/ae/singapore/universities-bba/,,,,,,,71,https://leverageedu.com/blog/study-in-singapore-after-12th/,,,13995,Study_Abroad,170,Course_Guide,,Study_Abroad-part_1
1074,BBA in Singapore,1,https://collegedunia.com/singapore/article/reasons-to-get-a-bba-degree-from-singapore-eligibility-scholarship-salaries,4,https://studyabroad.shiksha.com/singapore/universities/national-university-of-singapore/nus-bba,24,https://www.careers360.com/colleges/sp-jain-school-of-global-management-singapore/bba-course,15,https://www.collegedekho.com/ae/singapore/universities-bba/,,,,,,,71,https://leverageedu.com/blog/study-in-singapore-after-12th/,,,13995,Study_Abroad,170,Course_Guide,,Study_Abroad-part_1
1075,Master in nursing in USA,3,https://collegedunia.com/usa/article/masters-in-nursing-in-usa-an-overview,4,https://studyabroad.shiksha.com/usa/masters-in-nursing-paramedical-courses-sl,,,12,https://www.collegedekho.com/usa/universities-master-of-nursing/,,,,,,,,,,,13996,Study_Abroad,40,Course_Guide,,Study_Abroad-part_1
1076,Masters in/Master of information systems in Australia,1,https://collegedunia.com/australia/article/a-probe-into-studying-master-of-information-system-in-australia,24,https://studyabroad.shiksha.com/australia/universities/the-university-of-melbourne/master-of-information-systems,,,,,,,,,,,74,https://leverageedu.com/blog/mis-course/,,,13997,Study_Abroad,0,Course_Guide,,Study_Abroad-part_1
1077,Masters in/Master of information systems in Australia,1,https://collegedunia.com/australia/article/a-probe-into-studying-master-of-information-system-in-australia,25,https://studyabroad.shiksha.com/australia/universities/the-university-of-melbourne/master-of-information-systems,,,,,,,,,,,74,https://leverageedu.com/blog/mis-course/,,,13997,Study_Abroad,0,Course_Guide,,Study_Abroad-part_1
1078,Masters in/Master of information systems in Australia,1,https://collegedunia.com/australia/article/a-probe-into-studying-master-of-information-system-in-australia,26,https://studyabroad.shiksha.com/australia/universities/university-of-tasmania/master-of-information-technology-and-systems,,,,,,,,,,,74,https://leverageedu.com/blog/mis-course/,,,13997,Study_Abroad,0,Course_Guide,,Study_Abroad-part_1
1079,Masters in/of construction management in USA,1,https://collegedunia.com/usa/article/masters-in-construction-management-in-usa-course-guide-for-international-students,7,https://studyabroad.shiksha.com/usa/ms-in-construction-colleges-ds,,,41,https://www.collegedekho.com/usa/universities-masters-in-construction-management/,,,,,,,,,,,13998,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
1080,Masters/Msc in/of project management in UK,2,https://collegedunia.com/uk/article/msc-in-project-management-in-uk-comprehensive-guide-for-international-students,83,https://studyabroad.shiksha.com/uk/universities/nottingham-trent-university/msc-project-management,,,,,,,,,,,,,,,13999,Study_Abroad,0,Course_Guide,,Study_Abroad-part_1
1081,Masters in law in Australia,1,https://collegedunia.com/australia/article/masters-in-law-in-australia-course-guide-for-international-students,7,https://studyabroad.shiksha.com/australia/masters-of-law-colleges-cl,,,,,,,,,,,74,https://leverageedu.com/blog/llm-in-canada/,,,14000,Study_Abroad,50,Course_Guide,,Study_Abroad-part_1
1082,Masters in biotechnology in Germany,1,https://collegedunia.com/germany/article/masters-in-biotechnology-in-germany-course-guide-for-international-students,6,https://studyabroad.shiksha.com/germany/ms-in-biotechnology-colleges-ds,,,96,https://www.collegedekho.com/study-abroad/universities-master-of-science-in-biotechnology/,,,,,,,100,https://leverageedu.com/blog/msc-biotechnology/,,,14001,Study_Abroad,260,Course_Guide,,Study_Abroad-part_1
