,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
77,Lund University,24,https://collegedunia.com/sweden/college/773-lund-university-lund,15,https://studyabroad.shiksha.com/sweden/universities/lund-university,,,,,,,,,,,12175,Study_Abroad,18100,College,,Study_Abroad-College-HS
78,"Queen Mary, University of London",9,https://collegedunia.com/uk/college/843-queen-mary-university-of-london-london,3,https://studyabroad.shiksha.com/uk/universities/queen-mary-university-of-london,,,46,https://www.collegedekho.com/united-kingdom/queen-mary-university-of-london/,,,19,https://leverageedu.com/universities/queen-mary-university-of-london-united-kingdom,,,12176,Study_Abroad,18100,College,,Study_Abroad-College-HS
79,University of North Texas,11,https://collegedunia.com/usa/college/1238-university-of-north-texas-denton,4,https://studyabroad.shiksha.com/usa/universities/university-of-north-texas,,,,,,,,,,,12177,Study_Abroad,18100,College,,Study_Abroad-College-HS
80,Cleveland State University,17,https://collegedunia.com/usa/college/1168-cleveland-state-university-cleveland,3,https://studyabroad.shiksha.com/usa/universities/cleveland-state-university,,,,,,,,,,,12178,Study_Abroad,18100,College,,Study_Abroad-College-HS
81,University of New Haven,16,https://collegedunia.com/usa/college/2186-university-of-new-haven-west-haven,3,https://studyabroad.shiksha.com/usa/universities/university-of-new-haven,,,33,https://www.collegedekho.com/usa/university-of-new-haven/,,,,,,,12179,Study_Abroad,18100,College,,Study_Abroad-College-HS
82,Birmingham City University,17,https://collegedunia.com/uk/college/2288-birmingham-city-university-birmingham,3,https://studyabroad.shiksha.com/uk/universities/birmingham-city-university,,,54,https://www.collegedekho.com/united-kingdom/birmingham-city-university/,,,13,https://leverageedu.com/universities/birmingham-city-university,,,12180,Study_Abroad,18100,College,,Study_Abroad-College-HS
83,University of Regina,3,https://collegedunia.com/canada/college/97-university-of-regina-regina,4,https://studyabroad.shiksha.com/canada/universities/university-of-regina,,,,,,,,,,,12181,Study_Abroad,18100,College,,Study_Abroad-College-HS
84,MBA in canada,2,https://collegedunia.com/canada/article/study-mba-in-canada-for-international-students-fees-requirements-scholarships-eligibility-visa-and-admission-process,1,https://studyabroad.shiksha.com/canada/mba-colleges-dc,80,https://studyabroad.careers360.com/articles/mba-in-canada-know-study-cost,12,https://www.collegedekho.com/study-abroad/articles/top-universities-in-canada-to-study-mba/,72,https://www.embibe.com/exams/study-cost-for-mba-in-canada/,9,https://leverageedu.com/blog/eligibility-for-mba-in-canada/,48,https://admission.buddy4study.com/study-abroad/mba-in-canada,12182,Study_Abroad,14800,College,,Study_Abroad-College-HS
85,Memorial University of Newfoundland,5,https://collegedunia.com/canada/college/41-memorial-university-of-newfoundland-st-johns,3,https://studyabroad.shiksha.com/canada/universities/memorial-university-of-newfoundland,,,,,,,,,,,12183,Study_Abroad,14800,College,,Study_Abroad-College-HS
86,Cape Breton University,5,https://collegedunia.com/canada/college/20-cape-breton-university-sydney,4,https://studyabroad.shiksha.com/canada/universities/cape-breton-university,,,36,https://www.collegedekho.com/canada/cape-breton-university/,,,,,,,12184,Study_Abroad,14800,College,,Study_Abroad-College-HS
87,University of Texas - Dallas,11,https://collegedunia.com/usa/college/1903-university-of-texas-dallas-richardson,3,https://studyabroad.shiksha.com/usa/universities/the-university-of-texas-at-dallas,,,28,https://www.collegedekho.com/usa/the-university-of-texas-at-dallas/,,,,,,,12185,Study_Abroad,14800,College,,Study_Abroad-College-HS
88,Anglia Ruskin University,14,https://collegedunia.com/uk/college/799-anglia-ruskin-university-cambridge,3,https://studyabroad.shiksha.com/uk/universities/anglia-ruskin-university,,,,,,,,,,,12186,Study_Abroad,14800,College,,Study_Abroad-College-HS
89,Queen's University,6,https://collegedunia.com/canada/college/47-queens-university-kingston,5,https://studyabroad.shiksha.com/canada/universities/queen-s-university,,,,,,,,,,,12187,Study_Abroad,14800,College,,Study_Abroad-College-HS
90,University of Arizona,21,https://collegedunia.com/usa/college/2127-university-of-arizona-tucson,6,https://studyabroad.shiksha.com/usa/universities/university-of-arizona,,,46,https://www.collegedekho.com/usa/university-of-arizona/,,,,,,,12188,Study_Abroad,14800,College,,Study_Abroad-College-HS
91,Deakin University,27,https://collegedunia.com/australia/college/600-deakin-university-geelong,5,https://studyabroad.shiksha.com/australia/universities/deakin-university,,,,,,,,,,,12189,Study_Abroad,14800,College,,Study_Abroad-College-HS
92,University of Auckland,9,https://collegedunia.com/new-zealand/college/759-university-of-auckland-auckland,4,https://studyabroad.shiksha.com/new-zealand/universities/university-of-auckland,,,31,https://www.collegedekho.com/new-zealand/university-of-auckland/,,,,,,,12190,Study_Abroad,14800,College,,Study_Abroad-College-HS
93,University of Bath,9,https://collegedunia.com/uk/college/786-university-of-bath-bath,3,https://studyabroad.shiksha.com/uk/universities/university-of-bath,,,,,,,,,,,12191,Study_Abroad,14800,College,,Study_Abroad-College-HS
